FeeID,StudentID,AcademicYear,FeeType,Amount,PaymentStatus,PaymentDate
1,4,2025,Hostel,7500,Pending,2025-02-02
2,8,2026,Exam,10000,Partially Paid,2025-03-03
3,12,2024,Library,12500,Paid,2025-04-04
4,16,2025,Tuition,15000,Pending,2025-05-05
5,20,2026,Hostel,17500,Partially Paid,2025-06-06
6,24,2024,Exam,20000,Paid,2025-07-07
7,28,2025,Library,22500,Pending,2025-08-08
8,32,2026,Tuition,5000,Partially Paid,2025-09-09
9,36,2024,Hostel,7500,Paid,2025-10-10
10,40,2025,Exam,10000,Pending,2025-11-11
11,44,2026,Library,12500,Partially Paid,2025-12-12
12,48,2024,Tuition,15000,Paid,2025-01-13
13,52,2025,Hostel,17500,Pending,2025-02-14
14,56,2026,Exam,20000,Partially Paid,2025-03-15
15,60,2024,Library,22500,Paid,2025-04-16
16,64,2025,Tuition,5000,Pending,2025-05-17
17,68,2026,Hostel,7500,Partially Paid,2025-06-18
18,72,2024,Exam,10000,Paid,2025-07-19
19,76,2025,Library,12500,Pending,2025-08-20
20,80,2026,Tuition,15000,Partially Paid,2025-09-21
21,84,2024,Hostel,17500,Paid,2025-10-22
22,88,2025,Exam,20000,Pending,2025-11-23
23,92,2026,Library,22500,Partially Paid,2025-12-24
24,96,2024,Tuition,5000,Paid,2025-01-25
25,100,2025,Hostel,7500,Pending,2025-02-26
26,104,2026,Exam,10000,Partially Paid,2025-03-27
27,108,2024,Library,12500,Paid,2025-04-01
28,112,2025,Tuition,15000,Pending,2025-05-02
29,116,2026,Hostel,17500,Partially Paid,2025-06-03
30,120,2024,Exam,20000,Paid,2025-07-04
31,124,2025,Library,22500,Pending,2025-08-05
32,128,2026,Tuition,5000,Partially Paid,2025-09-06
33,132,2024,Hostel,7500,Paid,2025-10-07
34,136,2025,Exam,10000,Pending,2025-11-08
35,140,2026,Library,12500,Partially Paid,2025-12-09
36,144,2024,Tuition,15000,Paid,2025-01-10
37,148,2025,Hostel,17500,Pending,2025-02-11
38,152,2026,Exam,20000,Partially Paid,2025-03-12
39,156,2024,Library,22500,Paid,2025-04-13
40,160,2025,Tuition,5000,Pending,2025-05-14
